"home_team","HR","CI_low","CI_high","p_val","n_events","n_obs","n_seasons"
"Middlesbrough",1.783,0.582,5.467,"0.312",4,8,1
"Blackpool",1.673,0.705,3.97,"0.243",8,13,1
"Cardiff",1.483,0.476,4.626,"0.497",4,10,1
"Leicester",1.431,0.507,4.036,"0.498",5,11,2
"Chelsea",1.353,0.683,2.679,"0.386",20,30,8
"West Brom",1.323,0.712,2.459,"0.376",28,54,6
"Watford",1.242,0.4,3.854,"0.708",4,8,1
"Stoke",1.23,0.666,2.273,"0.508",28,51,7
"Birmingham",1.229,0.61,2.475,"0.563",15,26,3
"Burnley",1.192,0.503,2.825,"0.69",8,18,2
"Fulham",1.182,0.63,2.22,"0.602",23,53,6
"Norwich",1.166,0.578,2.353,"0.668",16,35,4
"Swansea",1.139,0.564,2.298,"0.717",16,40,5
"Arsenal",1.121,0.583,2.155,"0.733",24,40,8
"Man City",1.099,0.558,2.164,"0.786",20,36,8
"Tottenham",1.061,0.563,2,"0.854",27,48,8
"Man United",1.019,0.503,2.067,"0.958",18,35,7
"Wigan",1,1,1,"ref",17,47,5
"Crystal Palace",0.978,0.442,2.166,"0.957",11,30,3
"Everton",0.977,0.525,1.819,"0.941",28,52,8
"Aston Villa",0.96,0.519,1.776,"0.897",27,70,8
"West Ham",0.942,0.494,1.795,"0.856",21,51,7
"Newcastle",0.921,0.474,1.791,"0.809",19,52,7
"Blackburn",0.868,0.445,1.693,"0.677",18,36,4
"Portsmouth",0.846,0.371,1.929,"0.691",9,20,2
"Wolves",0.826,0.392,1.739,"0.614",12,35,3
"QPR",0.751,0.338,1.67,"0.483",10,29,3
"Southampton",0.72,0.312,1.664,"0.442",9,23,4
"Sunderland",0.7,0.371,1.319,"0.269",23,65,8
"Liverpool",0.624,0.294,1.326,"0.22",13,31,8
"Derby",0.587,0.167,2.061,"0.405",3,12,1
"Bolton",0.555,0.239,1.29,"0.171",8,32,4
"Hull",0.307,0.089,1.062,"0.0622",3,23,3
"Bournemouth",0.233,0.03,1.792,"0.161",1,9,1
