"model","variable","coef","exp_coef","se_coef","z","p"
"Model_III","ProbWin",1.772,5.881,0.104,17.101,1.47e-65
"Model_III","SeasonF1",0.103,1.108,0.073,1.401,0.161
"Model_III","SeasonF2",0.124,1.132,0.073,1.698,0.0895
"Model_III","SeasonF3",0.108,1.114,0.074,1.459,0.144
"Model_III","SeasonF4",-0.035,0.966,0.076,-0.461,0.645
"Model_III","SeasonF5",-0.004,0.996,0.075,-0.048,0.962
"Model_III","SeasonF6",0.027,1.027,0.075,0.361,0.718
"Model_III","SeasonF7",0.038,1.038,0.075,0.504,0.614
"Model_II","ProbWin",1.813,6.127,0.106,17.099,1.5e-65
"Model_II","SeasonF1",0.102,1.108,0.073,1.397,0.162
"Model_II","SeasonF2",0.125,1.133,0.073,1.703,0.0885
"Model_II","SeasonF3",0.107,1.113,0.074,1.448,0.148
"Model_II","SeasonF4",-0.035,0.966,0.076,-0.459,0.646
"Model_II","SeasonF5",-0.006,0.994,0.075,-0.08,0.936
"Model_II","SeasonF6",0.027,1.027,0.075,0.359,0.719
"Model_II","SeasonF7",0.038,1.039,0.075,0.505,0.614
"Model_II","Goal",-0.302,0.739,0.131,-2.313,0.0207
"Model_II","TimeOfFirstGoal",0.002,1.002,0.002,1.198,0.231
"Model_II","FirstGoalTeam",-0.108,0.897,0.059,-1.846,0.0649
"Model_II","tt(TimeOfFirstGoal)",0.115,1.121,0.035,3.285,0.00102
"Model_IV","ProbWin",1.775,5.898,0.104,17.111,1.22e-65
"Model_IV","SeasonF1",0.102,1.108,0.073,1.394,0.163
"Model_IV","SeasonF2",0.125,1.134,0.073,1.713,0.0868
"Model_IV","SeasonF3",0.108,1.114,0.074,1.461,0.144
"Model_IV","SeasonF4",-0.035,0.965,0.076,-0.464,0.642
"Model_IV","SeasonF5",-0.004,0.996,0.075,-0.048,0.962
"Model_IV","SeasonF6",0.027,1.028,0.075,0.366,0.715
"Model_IV","SeasonF7",0.038,1.039,0.075,0.511,0.609
"Model_IV","TimeOfFirstGoal",-0.001,0.999,0.001,-0.679,0.497
"Model_V","ProbWin",1.772,5.883,0.104,17.094,1.64e-65
"Model_V","SeasonF1",0.102,1.107,0.073,1.393,0.164
"Model_V","SeasonF2",0.127,1.135,0.073,1.732,0.0832
"Model_V","SeasonF3",0.108,1.114,0.074,1.47,0.141
"Model_V","SeasonF4",-0.033,0.968,0.076,-0.432,0.666
"Model_V","SeasonF5",-0.003,0.997,0.075,-0.035,0.972
"Model_V","SeasonF6",0.029,1.029,0.075,0.383,0.702
"Model_V","SeasonF7",0.04,1.04,0.075,0.528,0.598
"Model_V","Goal",-0.162,0.851,0.09,-1.804,0.0712
"Model_V","TimeOfFirstGoal",0.002,1.002,0.002,0.955,0.34
"Model_V","tt(TimeOfFirstGoal)",0.005,1.005,0.002,2.328,0.0199
"Model_VI","ProbWin",1.772,5.883,0.104,17.094,1.65e-65
"Model_VI","SeasonF1",0.103,1.109,0.073,1.411,0.158
"Model_VI","SeasonF2",0.126,1.135,0.073,1.724,0.0847
"Model_VI","SeasonF3",0.109,1.116,0.074,1.485,0.138
"Model_VI","SeasonF4",-0.032,0.968,0.076,-0.424,0.672
"Model_VI","SeasonF5",-0.003,0.997,0.075,-0.035,0.972
"Model_VI","SeasonF6",0.029,1.029,0.075,0.384,0.701
"Model_VI","SeasonF7",0.04,1.041,0.075,0.533,0.594
"Model_VI","Goal",-0.368,0.692,0.126,-2.932,0.00337
"Model_VI","TimeOfFirstGoal",0.002,1.002,0.002,1.164,0.244
"Model_VI","tt(TimeOfFirstGoal)",0.115,1.122,0.035,3.301,0.000964
